exper,male,school,wage
9,0,13,6.3152957
12,0,12,5.4797702
11,0,11,3.64217
9,0,14,4.5933366
8,0,14,2.4181576
9,0,14,2.094058
8,0,12,5.5120039
10,0,12,3.5484271
12,0,10,5.8182263
7,0,12,3.8277805
10,0,14,6.7368937
10,0,13,12.861342
10,0,13,7.655561
9,0,10,2.4497795
10,0,13,6.1056623
3,0,15,8.2680063
9,0,14,1.8624055
13,0,11,3.9808917
10,0,12,4.7634602
11,0,12,6.3805957
8,0,14,5.631124
7,0,11,2.4880574
7,0,14,1.2237383
5,0,12,1.3456535
5,0,14,.75111163
10,0,14,11.330231
11,0,12,3.8947577
6,0,13,2.9985154
11,0,12,3.2678962
9,0,12,1.3551972
10,0,14,4.2871141
11,0,12,7.624939
11,0,13,4.4437861
5,0,12,1.1342815
5,0,15,9.0641842
12,0,12,3.9808917
11,0,12,3.4507053
4,0,14,8.0967293
10,0,13,8.7352142
9,0,15,7.2758451
12,0,12,5.5120039
8,0,15,9.7863588
7,0,14,7.0431161
8,0,11,.78527176
9,0,12,4.0087299
10,0,12,3.6121514
15,0,7,3.1847134
6,0,15,5.8182263
10,0,12,2.2747953
7,0,16,5.4478927
9,0,12,2.4035573
8,0,14,9.0335617
10,0,13,4.9740958
7,0,14,9.3276119
10,0,12,5.8734469
9,0,12,3.2832096
8,0,14,2.1435571
5,0,13,2.5605736
5,0,14,9.1866732
3,0,12,2.835191
10,0,12,5.8976173
7,0,12,2.5332947
8,0,14,8.2680063
8,0,15,14.102052
9,0,11,.72932369
7,0,11,4.5933366
7,0,12,3.3777263
10,0,13,3.1847134
13,0,9,5.007411
5,0,12,2.3189662
9,0,12,3.3879929
10,0,11,2.4497795
9,0,13,5.8182263
10,0,13,5.3588929
7,0,11,7.1432824
6,0,12,5.5996361
8,0,12,3.8277805
6,0,12,8.0713224
9,0,12,3.9439175
11,0,12,6.3455415
7,0,13,5.4836125
9,0,13,6.9801936
9,0,13,10.047012
11,0,12,5.5120039
8,0,15,6.2556868
11,0,12,3.2344744
8,0,10,1.9183215
4,0,14,11.091042
8,0,14,5.1844172
9,0,14,5.1366343
9,0,13,4.2418194
7,0,12,3.9028351
11,0,12,6.7803574
9,0,12,1.0261854
10,0,12,4.5930643
11,0,8,.43868145
9,0,13,7.3493385
8,0,12,4.5933366
7,0,13,4.7245746
6,0,13,4.8172135
4,0,12,8.5304823
7,0,14,6.1951871
10,0,13,4.70469
10,0,12,5.0833416
6,0,12,5.7903881
7,0,16,5.1037073
7,0,14,6.9908342
9,0,12,4.3162055
8,0,13,7.7100272
5,0,12,5.7109838
8,0,12,1.9819298
6,0,12,5.8175869
9,0,13,3.6746693
7,0,13,2.7560019
5,0,14,4.9481497
9,0,12,3.9808917
8,0,13,4.157145
10,0,12,4.744452
8,0,12,6.6136222
6,0,13,2.737576
8,0,13,5.2495275
8,0,12,3.9851789
10,0,12,7.9617834
7,0,13,6.1182561
8,0,12,3.1429923
7,0,13,6.1244488
7,0,12,4.8621578
8,0,10,1.8094963
7,0,12,2.3810942
10,0,12,3.6746693
9,0,13,6.9840207
9,0,13,12.248898
10,0,12,7.3493385
6,0,12,1.9780829
10,0,12,3.2153356
6,0,12,4.7278218
7,0,13,8.7296715
10,0,12,6.6546249
8,0,13,4.6267023
4,0,11,3.0622244
7,0,13,5.9061956
9,0,12,4.4795966
8,0,12,3.3684468
10,0,12,2.807039
5,0,14,7.7241182
7,0,13,3.6945632
7,0,14,6.4988284
8,0,13,2.3891985
6,0,12,4.5933366
8,0,12,4.5933366
7,0,11,4.0829659
4,0,12,2.4560771
8,0,13,7.655561
5,0,14,3.1649325
6,0,13,4.9425378
7,0,12,3.6746693
6,0,10,2.0220401
10,0,12,9.799118
6,0,13,7.5826507
8,0,13,2.9903412
9,0,12,4.2871141
6,0,11,4.5933366
4,0,12,1.2132242
6,0,12,6.1244488
7,0,14,7.1463084
8,0,11,3.3616419
3,0,12,2.1435571
6,0,12,1.9598236
1,0,13,4.3221111
8,0,12,.10289074
5,0,9,2.5477707
8,0,12,7.9617834
8,0,12,6.5739498
7,0,11,4.2871141
4,0,11,3.2938447
6,0,12,6.9107704
9,0,12,4.4479237
5,0,11,.77992982
7,0,12,4.7230921
8,0,12,3.9317448
8,0,10,1.3504086
6,0,13,3.5385704
6,0,12,2.8705478
6,0,11,2.4811139
4,0,12,4.1340032
9,0,12,1.5329547
8,0,12,2.4497795
6,0,11,4.4613442
3,0,13,4.0429139
7,0,11,3.3684468
7,0,14,5.1087251
8,0,11,7.259985
6,0,12,8.2680063
9,0,12,3.2153356
6,0,12,4.914681
6,0,12,5.6395965
9,0,12,4.3036666
9,0,12,4.5933366
7,0,12,2.7186577
