wage,lnwage,educ,exper,lnexper,lneduc,male
7.7802081,2.0515831,1,23,3.1780539,0,1
4.8185043,1.5724636,1,15,2.7725887,0,0
10.563644,2.3574183,1,31,3.4657359,0,1
7.0424299,1.9519533,1,32,3.4965076,0,1
7.8875213,2.0652819,1,9,2.3025851,0,1
8.2000561,2.104141,1,15,2.7725887,0,0
8.2142906,2.1058755,1,26,3.2958369,0,1
10.378317,2.3397188,1,23,3.1780539,0,1
10.95489,2.393786,1,13,2.6390574,0,1
7.2114477,1.9756697,1,22,3.1354942,0,1
6.9682984,1.9413711,1,39,3.6888795,0,0
7.4336762,2.0060205,1,20,3.0445225,0,0
8.3100672,2.1174676,1,16,2.8332133,0,1
6.7575135,1.910655,1,38,3.6635616,0,0
12.181499,2.4999185,1,41,3.7376697,0,1
6.2972665,1.8401157,1,37,3.6375861,0,0
8.095829,2.0913489,1,18,2.9444389,0,0
7.7096076,2.0424674,1,24,3.2188759,0,1
7.4046116,2.0021031,1,31,3.4657359,0,1
8.7837515,2.1729035,1,34,3.5553482,0,1
8.7912054,2.1737518,1,20,3.0445225,0,1
9.1082096,2.2091761,1,35,3.583519,0,1
6.5203509,1.8749282,1,23,3.1780539,0,0
9.2191801,2.2212861,1,40,3.713572,0,1
3.3803661,1.217984,1,23,3.1780539,0,0
8.1692181,2.1003733,1,33,3.5263605,0,1
11.712672,2.4606714,1,15,2.7725887,0,1
9.5777044,2.259438,1,31,3.4657359,0,1
7.6134377,2.0299149,1,18,2.9444389,0,1
8.3399267,2.1210544,1,31,3.4657359,0,1
9.9335327,2.2959161,1,33,3.5263605,0,1
8.5917645,2.150804,1,11,2.4849067,0,1
6.5103345,1.8733908,1,28,3.3672957,0,1
8.8030376,2.1750968,1,17,2.8903718,0,1
9.7029037,2.2724252,1,26,3.2958369,0,1
7.7466726,2.0472634,1,18,2.9444389,0,1
7.4649754,2.0102222,1,28,3.3672957,0,1
9.1922235,2.2183578,1,18,2.9444389,0,1
8.8957005,2.1855681,1,37,3.6375861,0,1
9.155158,2.2143176,1,22,3.1354942,0,1
7.9227333,2.0697362,1,19,2.9957323,0,0
4.5071549,1.5056661,1,27,3.3322046,0,1
8.1678104,2.1002009,1,19,2.9957323,0,1
11.972131,2.4825816,1,32,3.4965076,0,1
7.9091902,2.0680254,1,40,3.713572,0,1
11.556808,2.4472747,1,21,3.0910425,0,1
9.5777044,2.259438,1,21,3.0910425,0,1
4.1513267,1.4234279,1,2,1.0986123,0,0
9.8594017,2.2884254,1,30,3.4339871,0,1
7.7466726,2.0472634,1,29,3.4011974,0,1
6.9217019,1.9346616,1,21,3.0910425,0,0
