capital,labor,output,wage
2.6065633,184,9.2507591,43.080307
1.3232368,91,3.66431,27.780016
22.093693,426,28.781517,44.467747
10.737851,72,4.1246419,39.734711
1.1613647,46,2.8901496,34.650707
276.79669,7642,480.14038,48.939781
1.678959,48,2.1494541,32.458096
1.1566547,108,4.1400108,31.117086
.88000947,35,2.460556,35.115379
3.4873166,72,3.8512189,32.525227
.52651834,71,3.2456238,42.703415
.67004669,29,1.7181256,38.816154
2.9548488,77,4.4030223,26.273117
.44273153,57,2.9236147,39.91029
1.142525,46,3.8363457,38.902569
3.6243997,188,6.5266957,26.348873
.089984067,4,.272679,24.850973
7.3246536,222,3.4734347,43.05024
3.6142361,180,3.7042203,19.716896
.38869151,61,2.1130145,27.259769
.1140294,13,2.2372072,24.82715
3.8846841,58,4.6670251,44.778328
1.7201087,88,4.3742671,36.028557
2.5215371,16,2.6663048,32.783451
.97148091,86,3.5215254,35.223434
3.6876116,74,3.720829,36.201981
5.7986431,93,6.3348289,36.125309
6.4486103,41,3.4598007,42.933334
7.0155349,268,14.450747,32.915726
1.8693385,141,7.9223166,32.907845
.18368649,13,.52750993,32.816818
3.9161663,71,8.7212658,35.758999
4.0507703,65,7.4743791,52.73193
2.1472232,38,1.9392434,29.896849
5.7302251,144,7.8970318,37.644848
1.412973,162,2.9853392,17.110531
6.1821289,46,4.0520101,36.66618
7.7520161,216,13.503808,45.247955
2.2332411,86,3.7513194,32.006641
.73474598,45,2.1325977,40.863277
5.4488702,656,28.108,38.532146
.90554219,206,5.9258103,26.146372
1.7446498,57,3.2706606,37.696682
.046107542,15,1.4719708,81.605385
2.8730452,53,10.471122,47.262806
2.0322022,80,5.2354369,41.289177
17.05979,606,25.715117,38.650391
5.482831,48,2.7773595,29.447275
1.6754885,77,3.0636725,41.223785
.15170868,23,51.215809,82.224045
6.2495546,84,4.4473944,32.113556
.39315355,143,6.6789002,41.737389
81.657692,557,50.151371,39.832401
145.12869,1567,206.50377,76.652443
7.2522697,63,4.9042559,42.621338
196.5961,1280,287.7926,188.42508
.97941339,33,1.5711268,25.412493
2.3589213,40,2.1296229,31.531609
.56568497,27,1.0604734,27.506618
.93057907,66,3.7017415,26.813444
11.599517,128,5.787488,37.671547
19.216928,664,40.979439,49.807594
5.6345396,307,20.923899,44.635544
1.3006788,38,3.4065044,43.008915
1.1209586,38,2.3703241,31.331982
4.5098629,60,4.5522518,43.67408
.7216078,40,5.4183798,32.603733
8.1687193,54,4.8841767,39.235485
9.1290455,207,10.928478,31.928703
52.547474,614,43.867607,41.251076
.40406069,58,2.3492534,32.490696
42.234753,131,19.853014,48.463436
2.19928,93,2.5289738,26.806774
3.9553328,130,7.0080981,43.199593
12.209574,128,5.4394503,26.402218
1.0292393,114,4.2364402,32.073494
2.1668065,117,6.0088534,30.515903
6.6662579,246,20.928362,76.532516
2.3487577,26,1.6192175,26.037994
3.5867205,189,6.8249073,29.630068
1.6799505,189,15.682265,69.014412
2.0356727,211,7.1379924,25.829914
.79622269,173,3.403034,17.541441
.32547957,7,.58278936,43.557819
1.1236854,49,5.2108955,42.333538
15.335962,1319,18.584064,43.289402
2.4888155,187,9.8157005,38.685417
6.1843596,123,11.630255,36.193947
2.0498023,289,13.87242,49.89193
.42017356,22,.94793135,55.335815
2.9047749,75,3.2168686,30.060802
9.2103529,182,11.349148,32.680626
.42984125,101,4.0929117,32.908016
.49032643,38,3.562675,24.802038
1.0500621,86,3.407248,35.087963
1.3351356,105,4.4699526,31.217606
5.7071714,123,6.5056252,39.233128
7.8067999,25,3.1945584,54.337486
2.6350708,87,3.3108189,33.778584
6.539834,46,5.5641389,30.803034
1.0418817,28,2.1806884,50.09148
2.048315,46,3.2932186,54.465748
34.406139,602,37.299263,47.360573
2.177218,22,4.5294461,53.645653
2.2193592,177,7.5995636,35.294205
12.104716,155,14.163691,35.89286
39.957886,152,17.805939,70.903061
.98957688,102,5.4384589,36.007236
33.537533,130,12.730639,44.196877
.49032643,6,.53221983,34.993813
7.0596595,110,4.9401999,30.817238
32.554153,442,41.406307,64.028526
5.2275043,148,9.2862072,39.992367
1.3348876,42,1.6308683,26.506531
.72854871,94,9.0236921,48.641819
2.7709143,176,8.7014351,37.593361
.9833796,85,3.2614887,28.59483
8.803813,118,19.357731,80.870964
1.8708259,12,1.1130261,34.704601
2.8740366,177,10.038553,46.2798
.70995694,41,1.7302722,29.359844
1.9531254,138,5.1434698,32.143078
10.662493,390,15.870662,31.637754
2.2426608,48,2.4979875,33.723377
.96454,92,7.0053716,29.687529
4.7346988,208,11.476068,40.561001
.45562181,61,2.3497493,34.245384
7.3486991,70,4.7111492,31.949476
450.48877,3443,329.53357,50.227917
23.007662,28,1.2972084,33.580246
6.3179727,294,15.47726,30.540222
1.9595704,36,2.672502,36.577557
.64798445,51,3.2366998,55.303764
1.1298826,148,5.9151511,29.184015
1.0324619,88,4.3593936,35.175022
5.0371246,200,10.429228,40.06646
2.0983889,35,1.8234788,41.369297
.87529957,110,4.4369831,32.081478
1.3809952,38,1.4015701,28.768278
14.760363,104,7.2059145,42.281929
.53296351,173,3.6152277,17.759241
22.380501,440,24.503679,37.231964
